method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score,mean_estimated_noise,mean_estimated_drift,mean_confidence
freshness_only,1.0,0.0,0.2,1.0,30,0.19927955841313205,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.7255343149402799,0.3678794411714423,0.011700135249856145,0.21239042557728852,0.7583483794168219
full_trust_score,1.0,0.0,0.2,1.0,30,0.19927955841313205,0.20260991841997605,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7255343149402799,0.7255343149402799,0.011700135249856145,0.21239042557728852,0.7583483794168219
raw_phys_mcp_output,1.0,0.0,0.2,3.0,30,0.21231671946550526,0.21231671946550526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634824828016632,,0.027158777320271898,0.1964852819479811,0.7131563029669169
confidence_only,1.0,0.0,0.2,3.0,30,0.21231671946550526,0.22550528814771376,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.634824828016632,0.7131563029669169,0.027158777320271898,0.1964852819479811,0.7131563029669169
freshness_only,1.0,0.0,0.2,3.0,30,0.21231671946550526,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.634824828016632,0.049787068367863944,0.027158777320271898,0.1964852819479811,0.7131563029669169
full_trust_score,1.0,0.0,0.2,3.0,30,0.21231671946550526,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.634824828016632,0.634824828016632,0.027158777320271898,0.1964852819479811,0.7131563029669169
raw_phys_mcp_output,1.0,0.0,0.2,5.0,30,0.20307287450185094,0.20307287450185094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361064745343086,,0.021691753545091078,0.190100108352458,0.7494798130356978
confidence_only,1.0,0.0,0.2,5.0,30,0.20307287450185094,0.1980549723230108,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6361064745343086,0.7494798130356978,0.021691753545091078,0.190100108352458,0.7494798130356978
freshness_only,1.0,0.0,0.2,5.0,30,0.20307287450185094,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.6361064745343086,0.006737946999085467,0.021691753545091078,0.190100108352458,0.7494798130356978
full_trust_score,1.0,0.0,0.2,5.0,30,0.20307287450185094,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6361064745343086,0.6361064745343086,0.021691753545091078,0.190100108352458,0.7494798130356978
raw_phys_mcp_output,1.0,0.0,0.2,10.0,30,0.21040341748039362,0.21040341748039362,0.2,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.6313075438603132,,0.025498128042417172,0.19472975755224542,0.7454126611061532
confidence_only,1.0,0.0,0.2,10.0,30,0.21040341748039362,0.18283991382141151,0.2,0.5333333333333333,0.0,0.4666666666666667,0.06666666666666667,0.0,0.3333333333333333,0.0,0.125,0.6313075438603132,0.7454126611061532,0.025498128042417172,0.19472975755224542,0.7454126611061532
freshness_only,1.0,0.0,0.2,10.0,30,0.21040341748039362,,0.2,0.0,1.0,0.0,0.0,0.8,0.0,1.0,,0.6313075438603132,4.5399929762484854e-05,0.025498128042417172,0.19472975755224542,0.7454126611061532
full_trust_score,1.0,0.0,0.2,10.0,30,0.21040341748039362,,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6313075438603132,0.6313075438603132,0.025498128042417172,0.19472975755224542,0.7454126611061532
raw_phys_mcp_output,1.0,0.0,0.2,20.0,30,0.2372859109284315,0.2372859109284315,0.4,1.0,0.0,0.0,0.4,0.0,1.0,0.0,0.4,0.6312684844747961,,0.01865970386330276,0.20183698814084944,0.7455706278421829
